Date,portfolio_value,daily_return,reward,cash,shares,price
2026-01-08,139688.97822185495,-0.00010152168346483229,-0.00010152168346483229,0.0,202.59166109762114,689.510009765625
2026-01-09,140612.79570185154,0.0066133884845902425,0.0066133884845902425,0.0,202.59166109762114,694.0700073242188
2026-01-12,140833.6136879283,0.001570397523031741,0.001570397523031741,0.0,202.59166109762114,695.1599731445312
2026-01-13,140552.020676565,-0.001999473023445042,-0.001999473023445042,0.0,202.59166109762114,693.77001953125
2026-01-14,139861.17618770245,-0.004915222744839135,-0.004915222744839135,0.0,202.59166109762114,690.3599853515625
2026-01-15,140242.04949978308,0.002723224002989024,0.002723224002989024,0.0,202.59166109762114,692.239990234375
2026-01-16,140124.54287408662,-0.0008378844014016317,-0.0008378844014016317,0.0,202.59166109762114,691.6599731445312
2026-01-20,137272.06118878597,-0.020356759970762847,-0.020356759970762847,0.0,202.59166109762114,677.5800170898438
2026-01-21,138856.32946239502,0.01154108315915979,0.01154108315915979,0.0,202.59166109762114,685.4000244140625
2026-01-22,139581.59870617063,0.00522316301016744,0.00522316301016744,0.0,202.59166109762114,688.97998046875
2026-01-23,139632.24662144503,0.0003628552455615378,0.0003628552455615378,0.0,202.59166109762114,689.22998046875
2026-01-26,140341.3174352867,0.005078130811459569,0.005078130811459569,0.0,202.59166109762114,692.72998046875
2026-01-27,140900.47239835034,0.003984250492172151,0.003984250492172151,0.0,202.59166109762114,695.489990234375
2026-01-28,140886.28949824788,-0.00010065899610586316,-0.00010065899610586316,0.0,202.59166109762114,695.4199829101562
2026-01-29,140606.71201671605,-0.0019844193677576133,-0.0019844193677576133,0.0,202.59166109762114,694.0399780273438
2026-01-30,140187.34579441833,-0.0029825476770117356,-0.0029825476770117356,0.0,202.59166109762114,691.969970703125
2026-02-02,140884.2616032027,0.004971317523953836,0.004971317523953836,0.0,202.59166109762114,695.4099731445312
2026-02-03,139693.03401194527,-0.008455363130712863,-0.008455363130712863,0.0,202.59166109762114,689.530029296875
2026-02-04,139016.3724231852,-0.004843917905757575,-0.004843917905757575,0.0,202.59166109762114,686.1900024414062
2026-02-05,137280.16040375293,-0.012489262877231514,-0.012489262877231514,0.0,202.59166109762114,677.6199951171875
2026-02-06,139913.85199802203,0.01918479397549639,0.01918479397549639,0.0,202.59166109762114,690.6199951171875
2026-02-09,140588.48569173692,0.004821779145387444,0.004821779145387444,0.0,202.59166109762114,693.9500122070312
2026-02-10,140217.73948966846,-0.0026371021797715554,-0.0026371021797715554,0.0,202.59166109762114,692.1199951171875
2026-02-11,140185.33026458687,-0.0002311349847711413,-0.0002311349847711413,0.0,202.59166109762114,691.9600219726562
2026-02-12,138019.62491284474,-0.015448872914552193,-0.015448872914552193,0.0,202.59166109762114,681.27001953125
2026-02-13,138116.86495330321,0.0007045377823616102,0.0007045377823616102,0.0,202.59166109762114,681.75
2026-02-17,138339.71083442512,0.0016134588719288253,0.0016134588719288253,0.0,202.59166109762114,682.8499755859375
2026-02-18,139036.62664320949,0.0050377133549056406,0.0050377133549056406,0.0,202.59166109762114,686.2899780273438
2026-02-19,138669.93623123135,-0.0026373655692835986,-0.0026373655692835986,0.0,202.59166109762114,684.47998046875
2026-02-20,139672.7674267073,0.007231785221302227,0.007231785221302227,0.0,202.59166109762114,689.4299926757812
2026-02-23,138246.52658405696,-0.010211302238274461,-0.010211302238274461,0.0,202.59166109762114,682.3900146484375
2026-02-24,139251.37330936443,0.007268513358970318,0.007268513358970318,0.0,202.59166109762114,687.3499755859375
2026-02-25,140426.41483590158,0.008438276037153712,0.008438276037153712,0.0,202.59166109762114,693.1500244140625
2026-02-26,139646.4295215475,-0.0055544059517971525,-0.0055544059517971525,0.0,202.59166109762114,689.2999877929688
2026-02-27,138975.85161792295,-0.004801969559279676,-0.004801969559279676,0.0,202.59166109762114,685.989990234375
2026-03-02,139054.8653334023,0.0005685427688299077,0.0005685427688299077,0.0,202.59166109762114,686.3800048828125
2026-03-03,137829.18825680442,-0.008814341545397574,-0.008814341545397574,0.0,202.59166109762114,680.3300170898438
2026-03-04,138801.62575703027,0.007055381465455579,0.007055381465455579,0.0,202.59166109762114,685.1300048828125
2026-03-05,138027.7241278117,-0.005575594846225148,-0.005575594846225148,0.0,202.59166109762114,681.3099975585938
2026-03-06,136218.5820780356,-0.013107091790493188,-0.013107091790493188,0.0,202.59166109762114,672.3800048828125
2026-03-09,137411.84992955188,0.008759949144329636,0.008759949144329636,0.0,202.59166109762114,678.27001953125
2026-03-10,137191.01957826145,-0.0016070691967516161,-0.0016070691967516161,0.0,202.59166109762114,677.1799926757812
2026-03-11,137018.82161241394,-0.0012551693717041848,-0.0012551693717041848,0.0,202.59166109762114,676.3300170898438
2026-03-12,134938.20129607298,-0.015184923442316787,-0.015184923442316787,0.0,202.59166109762114,666.0599975585938
2026-03-13,134174.42677686657,-0.005660180081477274,-0.005660180081477274,0.0,202.59166109762114,662.2899780273438
2026-03-16,135539.90495944404,0.010176888512803366,0.010176888512803366,0.0,202.59166109762114,669.030029296875
2026-03-17,135896.45589619636,0.0026305975119209762,0.0026305975119209762,0.0,202.59166109762114,670.7899780273438
2026-03-18,134000.2009159739,-0.013953675007322558,-0.013953675007322558,0.0,202.59166109762114,661.4299926757812
2026-03-19,133669.9755191677,-0.002464364937879985,-0.002464364937879985,0.0,202.59166109762114,659.7999877929688
2026-03-20,131394.87512190978,-0.017020279897722288,-0.017020279897722288,0.0,202.59166109762114,648.5700073242188
2026-03-23,132774.52383937605,0.010500019244937986,0.010500019244937986,0.0,202.59166109762114,655.3800048828125
2026-03-24,132328.81971191854,-0.003356849752266536,-0.003356849752266536,0.0,202.59166109762114,653.1799926757812
2026-03-25,133066.25632596517,0.005572758947386054,0.005572758947386054,0.0,202.59166109762114,656.8200073242188
2026-03-26,130689.86009815845,-0.017858744158138717,-0.017858744158138717,0.0,202.59166109762114,645.0900268554688
2026-03-27,128461.35182608462,-0.017051883523327992,-0.017051883523327992,0.0,202.59166109762114,634.0900268554688
2026-03-30,128031.84612856107,-0.003343462383184546,-0.003343462383184546,0.0,202.59166109762114,631.969970703125
2026-03-31,131753.46631892095,0.02906792569891464,0.02906792569891464,0.0,202.59166109762114,650.3400268554688
2026-04-01,132746.15803917107,0.007534463782889951,0.007534463782889951,0.0,202.59166109762114,655.239990234375
2026-04-02,132613.4118811319,-0.0009999999999999786,-0.0019999999999999784,132613.4118811319,0.0,655.8300170898438
