Date,ppo_agent,buy_and_hold,moving_average,random
2025-05-22,117322.85389059209,122401.54085200638,105618.66528045615,101917.8972585425
2025-05-23,119762.06540394422,124946.34127065861,107814.5397911224,101917.8972585425
2025-05-27,119069.19302003649,124223.47573686249,107190.78871474418,101226.93240303379
2025-05-28,119539.20715760862,124713.83590756464,107613.91399875411,101626.51594035127
2025-05-29,119405.50210197821,124574.3430100928,107493.547428656,101512.84629764222
2025-05-30,120078.10790064796,125276.06465607273,108099.05372482607,102084.66357454585
2025-06-02,120762.86870437501,125990.46747455013,108715.50243645959,101982.57891097131
2025-06-03,120730.44711407972,125956.6424142365,108686.31524078797,101982.57891097131
2025-06-04,120146.98214090148,125347.92033339801,108161.05703523451,101982.57891097131
2025-06-05,121380.77079768002,126635.11739405125,109271.76229721727,101982.57891097131
2025-06-06,121490.1658431958,126749.24794652822,109370.24403638845,101982.57891097131
2025-06-09,122178.9824370132,127467.88212266497,109990.34393039433,101982.57891097131
2025-06-10,121830.51835001416,127104.33367693723,109676.64280101904,101982.57891097131
2025-06-11,122314.71538768876,127609.49069896652,110112.53609167862,101982.57891097131
2025-06-12,120947.22167527983,126182.80074084143,108881.46425959773,101982.57891097131
2025-06-13,122097.94082648867,127383.33237236159,109917.38707286885,101982.57891097131
2025-06-16,121054.60119096414,126294.82851496937,108978.13153923632,101982.57891097131
2025-06-17,121036.36250077133,126275.80030598288,108961.71235021434,101865.24649310437
2025-06-18,120396.17829239686,125607.90372031655,108385.3932497159,101326.46194241497
2025-06-20,121585.3903538228,126848.59454815873,109455.96890056357,102327.3130690254
2025-06-23,122928.57405611713,128249.92216128894,110665.15590171753,103457.74805643558
2025-06-24,122997.44829637065,128321.77783861422,110727.15921212597,103354.29030837915
2025-06-25,123959.75868658435,129325.74484618372,111593.46901988659,104058.75317123697
2025-06-26,124575.63288484419,129968.27908685517,112147.90328945809,104575.75241244466
2025-06-27,125171.25286307975,130589.68234019111,112684.10391047502,105075.74912876434
2025-06-30,125130.74442303118,130547.42036552008,112647.63661336586,105041.74407898828
2025-07-01,125697.99860106177,131139.22991620176,113158.3012210835,104936.70233490929
2025-07-02,126688.67479148043,132172.79062642553,114050.1470421434,104936.70233490929
2025-07-03,125744.59072624585,131187.83892736185,113200.24529175118,104936.70233490929
2025-07-07,125675.71648599232,131115.98325003657,113138.24198134276,104936.70233490929
2025-07-08,126429.3515299729,131902.24174583922,113816.69400338472,105460.4065069781
2025-07-09,126785.9148319389,132274.24000640505,114137.68636585111,105757.83198860679
2025-07-10,126340.2107044814,131809.24218069777,113736.44591276812,105386.05013657094
2025-07-11,126581.29527579612,132060.76285229757,113953.47976250481,105280.66408643436
